,date,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2021-02-21,47.7,42.1,52.0,0.114,181.0,15.2,1026.2
1,2021-02-22,48.7,42.1,52.0,0.283,195.0,11.7,1021.7
2,2021-02-23,41.5,37.0,48.9,0.161,160.0,5.8,1026.3
3,2021-02-24,39.6,33.1,45.0,0.0,142.0,4.4,1033.7
4,2021-02-25,43.0,37.9,48.9,0.15,193.0,10.1,1019.9
5,2021-02-26,42.8,39.0,50.0,0.126,149.0,7.5,1014.2
6,2021-02-27,41.2,33.1,48.0,0.0,166.0,5.0,1023.6
7,2021-02-28,45.9,39.9,52.0,0.02,164.0,8.2,1024.9
8,2021-03-01,47.5,37.9,57.0,0.0,162.0,4.1,1018.5
9,2021-03-02,44.2,42.1,48.0,0.0,21.0,2.3,1017.1
10,2021-03-03,44.4,34.0,55.9,0.0,335.0,2.6,1010.2
11,2021-03-04,44.2,36.0,51.1,0.197,131.0,6.3,1015.2
12,2021-03-05,47.3,45.0,53.1,0.126,176.0,6.9,1013.1
13,2021-03-06,45.0,41.0,50.0,0.004,172.0,8.4,1015.6
14,2021-03-07,42.6,37.0,46.9,0.236,176.0,9.6,1018.1
15,2021-03-08,41.0,28.9,51.1,0.0,344.0,2.1,1016.0
16,2021-03-09,43.7,36.0,53.1,0.0,347.0,2.2,1015.2
17,2021-03-10,42.4,32.0,51.1,0.0,338.0,4.3,1015.8
18,2021-03-11,43.7,35.1,54.0,0.0,348.0,2.4,1024.4
19,2021-03-12,44.4,32.0,57.0,0.0,355.0,2.1,1026.5
20,2021-03-13,46.6,33.1,60.1,0.0,140.0,4.2,1021.5
21,2021-03-14,46.6,33.1,60.1,0.0,140.0,4.2,1021.5
22,2021-03-15,41.0,36.0,46.9,0.004,331.0,3.9,1021.6
23,2021-03-16,41.4,32.0,50.0,0.0,348.0,2.2,1021.8
24,2021-03-17,45.3,33.1,59.0,0.0,1.0,1.4,1016.1
25,2021-03-18,45.5,39.0,53.1,0.24,126.0,4.8,1010.5
26,2021-03-19,47.5,37.0,55.0,0.079,167.0,8.8,1014.3
27,2021-03-20,45.5,42.1,52.0,0.197,170.0,7.8,1020.0
28,2021-03-21,42.6,39.9,45.0,0.189,171.0,10.3,1025.3
29,2021-03-22,44.6,41.0,50.0,0.177,91.0,5.8,1019.7
30,2021-03-23,45.7,37.9,53.1,0.0,340.0,2.4,1030.6
31,2021-03-24,46.4,43.0,50.0,0.354,189.0,9.7,1014.8
32,2021-03-25,46.8,42.1,53.1,0.268,19.0,4.0,1012.8
33,2021-03-26,46.9,39.9,53.1,0.0,184.0,6.5,1024.0
34,2021-03-27,48.2,43.0,54.0,0.0,163.0,4.7,1028.2
35,2021-03-28,44.2,39.0,48.0,0.39,192.0,11.9,1015.7
36,2021-03-29,42.1,32.0,48.9,0.0,31.0,4.7,1025.9
37,2021-03-30,43.2,30.9,54.0,0.0,122.0,3.4,1031.1
38,2021-03-31,47.1,36.0,57.9,0.0,337.0,3.4,1025.3
39,2021-04-01,48.4,39.9,55.9,0.0,349.0,3.0,1014.1
40,2021-04-02,48.6,42.1,55.9,0.0,206.0,6.0,1018.0
41,2021-04-03,50.4,39.9,62.1,0.012,208.0,5.2,1020.6
42,2021-04-04,46.4,44.1,48.9,0.031,358.0,4.8,1024.1
43,2021-04-05,45.3,33.1,55.0,0.0,351.0,2.2,1023.5
44,2021-04-06,47.7,36.0,59.0,0.0,325.0,4.3,1020.1
45,2021-04-07,45.3,43.0,46.9,0.067,197.0,9.3,1017.9
46,2021-04-08,46.2,39.0,53.1,0.197,189.0,6.2,1023.5
47,2021-04-09,43.3,35.1,48.9,0.024,171.0,9.9,1021.9
48,2021-04-10,45.0,39.9,51.1,0.047,315.0,6.9,1022.1
49,2021-04-11,43.7,32.0,51.1,0.0,350.0,4.7,1028.1
50,2021-04-12,47.8,37.0,57.0,0.0,352.0,4.8,1025.7
51,2021-04-13,53.1,41.0,62.1,0.0,9.0,7.4,1025.7
52,2021-04-14,54.5,43.0,64.9,0.0,357.0,4.3,1021.6
53,2021-04-15,58.6,45.0,73.9,0.0,340.0,3.4,1019.3
54,2021-04-16,61.2,46.0,75.0,0.0,338.0,3.7,1021.9
55,2021-04-17,62.4,46.9,77.0,0.0,339.0,2.5,1022.0
56,2021-04-18,62.8,48.0,78.1,0.0,346.0,3.0,1020.3
57,2021-04-19,60.1,46.9,71.1,0.0,315.0,3.7,1022.5
58,2021-04-20,60.4,48.0,70.0,0.0,349.0,3.3,1021.4
59,2021-04-21,59.2,46.0,70.0,0.0,344.0,3.2,1017.0
60,2021-04-22,54.1,48.9,61.0,0.0,197.0,6.0,1013.8
61,2021-04-23,51.8,45.0,59.0,0.008,186.0,8.2,1014.0
62,2021-04-24,48.4,46.9,50.0,0.457,170.0,6.6,1008.9
63,2021-04-25,51.3,46.9,59.0,0.122,188.0,6.3,1006.8
64,2021-04-26,52.7,45.0,60.1,0.0,235.0,5.7,1012.5
65,2021-04-27,53.2,46.0,60.1,0.0,199.0,5.9,1021.0
66,2021-04-28,55.8,48.9,64.0,0.0,319.0,2.8,1025.4
67,2021-04-29,60.4,51.1,73.0,0.0,267.0,4.4,1023.3
68,2021-04-30,57.4,51.1,64.0,0.094,180.0,9.4,1021.6
69,2021-05-01,53.4,48.9,59.0,0.008,61.0,4.2,1020.2
70,2021-05-02,53.4,46.9,61.0,0.012,30.0,3.2,1023.0
71,2021-05-03,52.0,46.0,57.0,0.138,163.0,6.5,1022.1
72,2021-05-04,55.2,50.0,63.0,0.0,336.0,4.2,1023.6
73,2021-05-05,55.9,46.0,66.0,0.0,342.0,4.7,1016.8
74,2021-05-06,56.5,50.0,64.0,0.051,193.0,8.6,1013.5
75,2021-05-07,50.0,46.0,55.9,0.024,118.0,6.6,1023.2
76,2021-05-08,50.5,44.1,57.0,0.0,175.0,6.8,1027.9
77,2021-05-09,55.0,48.9,62.1,0.0,334.0,4.8,1025.2
78,2021-05-10,55.4,45.0,64.0,0.0,346.0,3.7,1024.6
79,2021-05-11,57.7,48.0,66.9,0.0,341.0,4.3,1022.6
80,2021-05-12,60.4,55.0,68.0,0.0,344.0,5.0,1020.6
81,2021-05-13,60.6,48.9,70.0,0.0,322.0,5.3,1021.8
82,2021-05-14,62.2,52.0,73.0,0.0,346.0,4.2,1019.7
83,2021-05-15,61.0,51.1,72.0,0.0,329.0,4.4,1018.4
84,2021-05-16,63.7,51.1,75.0,0.0,330.0,3.2,1014.4
85,2021-05-17,54.7,51.1,61.0,0.094,194.0,8.4,1013.8
86,2021-05-18,52.2,46.9,61.0,0.272,196.0,10.0,1019.0
87,2021-05-19,50.9,44.1,57.0,0.004,343.0,4.6,1019.3
88,2021-05-20,52.3,46.0,62.1,0.0,163.0,6.0,1019.5
89,2021-05-21,53.8,46.9,62.1,0.0,231.0,4.8,1022.2
90,2021-05-22,53.8,48.0,62.1,0.0,197.0,3.5,1020.3
91,2021-05-23,55.6,53.1,61.0,0.0,182.0,8.5,1018.1
92,2021-05-24,55.6,51.1,62.1,0.094,182.0,8.8,1017.6
93,2021-05-25,56.8,53.1,63.0,0.0,204.0,5.5,1019.2
94,2021-05-26,57.6,51.1,64.0,0.0,193.0,6.0,1019.8
95,2021-05-27,54.7,52.0,59.0,0.374,186.0,10.6,1014.4
96,2021-05-28,55.2,51.1,62.1,0.0,238.0,6.6,1023.9
97,2021-05-29,58.3,46.9,70.0,0.0,338.0,4.8,1020.8
98,2021-05-30,61.7,53.1,70.0,0.0,334.0,3.4,1020.5
99,2021-05-31,66.0,53.1,78.1,0.0,341.0,3.9,1021.4
100,2021-06-01,72.0,60.1,82.9,0.0,340.0,4.1,1016.2
101,2021-06-02,72.9,61.0,86.0,0.0,347.0,2.7,1012.5
